"","WM115","WM1205Lu","WM266-4","WM793"
"P40925",518.366428571429,499.540608141068,600.794715635576,379.448571428571
"P40926",698.253333333334,791.686037044851,706.82466754789,1417.65296293034
"P41091",812.501540848281,587.620900055155,659.9248177421,640.629644089619
"P41250",946.744106645695,1161.07597420763,927.989956583005,1692.93217770707
"P41252",640.19,283.329109684043,380.591091942823,584.668411102381
"P42025",129.78,185.041764699893,332.012744762282,145.27
"P42224",110.54,310.875307970446,220.511923990646,202.418326149721
"P42356",330.298333333334,435.828952516714,446.043095227389,128.032582728035
"P43007",973.730010571857,359.273672799519,856.900303032084,275.722220265008
"P43034",557.775018166918,436.334503704294,296.088912615858,314.73636981491
"P43121",2445.61383816349,415.127370568954,1896.97658402985,545.838590963403
"P43307",128.75,145.762149944899,105.945,138.140453073342
"P43487",44.945,108.524985596188,80.535,70.4333333333335
"P43490",1804.06370476119,842.324267721621,973.405650759724,1980.64181229692
"P43686",459.815600040809,283.573974358974,368.581693800424,455.618831945075
"P45974",689.191985855181,711.458190977869,638.070151515151,458.969103869132
"P46060",176.771801133826,156.492515500695,205.083597343867,191.032486216246
"P46459",225.886660056759,97.5533333333335,409.061792494619,296.848043738872
"P46776",130.821474570296,174.571666666667,96.7366666666665,130.421666666667
"P46777",495.424185614158,581.243766400753,313.581957250351,553.762640555733
"P46779",77.652041229868,112.88060136652,46.43,108.65617731186
"P46781",215.831648802716,197.346206520487,138.632922527345,252.41131365277
"P46782",281.3775,328.569090909091,315.621837106779,401.133636363636
"P46783",249.638092241699,262.81010810585,148.90557478885,222.042145593088
"P46821",162.866362486418,1042.97579117327,109.546899577745,336.580483616352
"P46939",1075.60768321172,625.197689991611,2432.0402528809,973.84543619053
"P46940",5088.37085177145,5305.53680060791,5751.93488287706,4936.17492881519
"P47756",798.19828241277,606.539927884426,732.507615618307,563.180954952064
"P47895",1280.5227513907,735.834057326294,1193.42714867232,1332.46870872587
"P47897",688.710942570109,177.975,291.736720047138,135.89056413739
"P48059",75.955,288.055485015008,107.209560677301,77.365
"P48147",407.576154255056,209.643520262281,541.870141437206,578.022100012294
"P48163",108.68,100.319471895721,188.946677644748,290.358814209034
"P48444",369.752862922359,386.424004211594,218.724227259858,395.196338571693
"P48509",85.0216666666666,90.852625648221,82.8892332967394,80.1033333333334
"P48637",448.77143667599,139.65523870836,228.603861918899,395.05139327152
"P48643",1359.70805321627,1182.43236891701,970.375023826908,1410.634051231
"P48681",174.75460241677,2250.88761135877,548.223030555406,1183.30435188153
"P48960",114.5,225.990812692667,259.75589238201,127.054126324317
"P49189",278.64,250.829444444445,226.385465446557,234.462954353762
"P49207",37.9985257242519,59.9469399418295,38.505,54.6753676623026
"P49327",5418.1560485505,2839.45819024682,5068.44418748711,4777.11732577083
"P49354",164.995,103.565,126.491666666667,139.191666666666
"P49368",1202.70903235119,1169.55897489648,922.62496082396,1343.45351150067
"P49411",207.400674009019,157.279055113582,126.706191917175,356.544191278518
"P49588",1376.56529474043,994.860621130793,881.182099366375,962.211764818291
"P49591",607.603054792269,241.729662032526,317.837005640208,131.475644405469
"P49593",220.975,103.105,161.07,141.666666666666
"P49721",241.33,116.176666666667,139.839681297556,104.561542155465
"P49755",198.34884994511,370.612622174128,40.575,577.912116554048
"P49915",206.437570288168,121.962565228406,186.10968832208,149.77
"P50148",485.376586753123,377.568266244849,307.990395175552,259.137679917193
"P50395",1403.29505167294,1483.74444410724,1401.55107414164,1415.08584634977
"P50443",314.815,381.391979663419,94.1340051491001,759.399945062534
"P50454",587.182394422465,956.663713652885,844.41962064887,1275.82986524118
"P50570",321.689650386631,141.481106686606,201.449939463826,149.721801566968
"P50914",264.910725071932,313.383150113003,159.045,266.565187335905
"P50990",1381.25651062752,1467.02325060618,1219.85349353282,1637.58051242654
"P50991",1381.60789044544,1303.74054894179,1020.98049834498,1252.73967173891
"P50995",377.576070893765,651.527528000228,357.685,462.529121353668
"P51114",220.830353266833,188.97427060956,65.29,185.266586495888
"P51148",1135.30666668173,693.368559877308,826.022942786472,943.22739608087
"P51149",1049.74277777778,804.66496636493,886.130402482359,707.222608695652
"P51153",213.342509697096,426.595218284956,278.873387881663,654.825278351285
"P51665",179.709471895721,56.055,47.4866666666667,112.305
"P52209",423.793029800918,743.0176439912,550.823472672244,559.13531258047
"P52272",110.06,484.373333333334,375.383571428571,731.84263907873
"P52292",848.356638242825,862.55030337073,733.57241066625,668.76656920361
"P52565",385.59712144078,393.118847195082,324.538672367707,388.607949670571
"P52597",323.76,508.399234763107,211.38,709.534726669329
"P52788",266.633333333333,320.519536772242,370.753694944864,116.829985596189
"P52907",723.211701232378,204.261182564131,445.278444491508,369.223652634173
"P52943",169.16,280.234043263446,157.646189294055,126.29
"P53004",185.25,119.805828148379,109.644473835788,85.568282540399
"P53396",1493.99159530156,1103.45719447313,1960.75707377237,1703.21774421631
"P53618",439.603571428572,509.206887004082,217.094156398268,556.542115700329
"P53621",836.744716935353,758.240587962532,491.075589956411,882.035375302715
"P53985",323.420083506817,376.699494654451,404.342943796743,240.286497136794
"P54136",445.666507020093,369.014285714286,139.997804182927,669.218177538827
"P54577",350.939369301537,143.094041684733,387.029246425658,106.220562623139
"P54578",210.766666666667,100.881666666666,224.115,101.81
"P54709",638.789688825977,541.476653125061,564.943120466741,429.35626933973
"P54760",145.051821760861,170.713378865111,257.08916681442,163.372616687607
"P54920",323.288636363636,135.825,341.080384615385,74.825
